dt,beta,g,tau,trial,initMacro,initCoral,initTurf,macroalgae,coral,turf,lgMacro,lgCoral,lgTurf
0.000100,0.100000,0.300000,0.500000,280,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,281,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.647979,0.001990,0.350031
0.000100,0.100000,0.300000,0.500000,282,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,283,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,284,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,285,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,286,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,287,0.282636,0.249101,0.468264,0.622213,0.000030,0.377757,0.627455,0.000031,0.372514
0.000100,0.100000,0.300000,0.500000,288,0.282636,0.249101,0.468264,0.591801,0.000063,0.408136,0.615493,0.000060,0.384447
0.000100,0.100000,0.300000,0.500000,289,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,290,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000001,0.559994,0.440006
0.000100,0.100000,0.300000,0.500000,291,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.661630,0.000777,0.337593
0.000100,0.100000,0.300000,0.500000,292,0.282636,0.249101,0.468264,0.550817,0.018518,0.430665,0.609079,0.000554,0.390367
0.000100,0.100000,0.300000,0.500000,293,0.282636,0.249101,0.468264,0.604662,0.001454,0.393883,0.621192,0.000312,0.378496
0.000100,0.100000,0.300000,0.500000,294,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,295,0.282636,0.249101,0.468264,0.618337,0.000009,0.381654,0.625541,0.000015,0.374444
0.000100,0.100000,0.300000,0.500000,296,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,297,0.282636,0.249101,0.468264,0.567956,0.000043,0.432000,0.605672,0.000029,0.394298
0.000100,0.100000,0.300000,0.500000,298,0.282636,0.249101,0.468264,0.680565,0.000127,0.319309,0.648411,0.000081,0.351507
0.000100,0.100000,0.300000,0.500000,299,0.282636,0.249101,0.468264,0.519642,0.057443,0.422915,0.619173,0.000823,0.380005
0.000100,0.100000,0.300000,0.500000,300,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,301,0.282636,0.249101,0.468264,0.499854,0.000025,0.500121,0.574922,0.000019,0.425058
0.000100,0.100000,0.300000,0.500000,302,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,303,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,304,0.282636,0.249101,0.468264,0.002490,0.549323,0.448187,0.575264,0.000309,0.424426
0.000100,0.100000,0.300000,0.500000,305,0.282636,0.249101,0.468264,0.555111,0.000005,0.444883,0.601095,0.000017,0.398888
0.000100,0.100000,0.300000,0.500000,306,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,307,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,308,0.282636,0.249101,0.468264,0.559855,0.000261,0.439884,0.602160,0.000112,0.397727
0.000100,0.100000,0.300000,0.500000,309,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,310,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,311,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
